"lon","lat","TEM"
-89.25,32.75,13.4
-88.75,32.75,13.4
-88.25,32.75,13.5
-87.75,32.75,13.6
-87.25,32.75,13.5
-86.75,32.75,13.3
-86.25,32.75,13.1
-85.75,32.75,13
-85.25,32.75,12.9
-84.75,32.75,12.8
-84.25,32.75,12.8
-83.75,32.75,13
-83.25,32.75,13.2
-82.75,32.75,13.3
-82.25,32.75,13.4
-81.75,32.75,13.6
-81.25,32.75,14
-80.75,32.75,14.3
-80.25,32.75,14.6
-79.75,32.75,15.1
-79.25,32.75,15.9
-78.75,32.75,17
-78.25,32.75,17.8
-77.75,32.75,18.4
-77.25,32.75,0
-76.75,32.75,0
-76.25,32.75,0
-75.75,32.75,0
-75.25,32.75,0
-74.75,32.75,0
-74.25,32.75,0
-73.75,32.75,0
-73.25,32.75,0
-91.25,33.25,13.1
-90.75,33.25,13.1
-90.25,33.25,13.1
-89.75,33.25,13
-89.25,33.25,12.9
-88.75,33.25,12.9
-88.25,33.25,13
-87.75,33.25,13
-87.25,33.25,12.9
-86.75,33.25,12.7
-86.25,33.25,12.5
-85.75,33.25,12.2
-85.25,33.25,12.2
-84.75,33.25,12.1
-84.25,33.25,12.2
-83.75,33.25,12.4
-83.25,33.25,12.6
-82.75,33.25,12.7
-82.25,33.25,12.9
-81.75,33.25,12.9
-81.25,33.25,13
-80.75,33.25,13.3
-80.25,33.25,13.5
-79.75,33.25,13.8
-79.25,33.25,14.3
-78.75,33.25,15.1
-78.25,33.25,15.9
-77.75,33.25,16.8
-77.25,33.25,0
-76.75,33.25,0
-76.25,33.25,0
-75.75,33.25,0
-75.25,33.25,0
-74.75,33.25,0
-74.25,33.25,0
-73.75,33.25,0
-73.25,33.25,0
-91.25,33.75,12.6
-90.75,33.75,12.7
-90.25,33.75,12.6
-89.75,33.75,12.4
-89.25,33.75,12.3
-88.75,33.75,12.3
-88.25,33.75,12.4
-87.75,33.75,12.2
-87.25,33.75,12.1
-86.75,33.75,12
-86.25,33.75,11.8
-85.75,33.75,11.7
-85.25,33.75,11.6
-84.75,33.75,11.5
-84.25,33.75,11.4
-83.75,33.75,11.6
-83.25,33.75,11.9
-82.75,33.75,12.1
-82.25,33.75,12.3
-81.75,33.75,12.3
-81.25,33.75,12.3
-80.75,33.75,12.4
-80.25,33.75,12.6
-79.75,33.75,12.7
-79.25,33.75,13
-78.75,33.75,13.3
-78.25,33.75,13.6
-77.75,33.75,14.5
-77.25,33.75,0
-76.75,33.75,0
-76.25,33.75,0
-75.75,33.75,0
-75.25,33.75,0
-74.75,33.75,0
-74.25,33.75,0
-73.75,33.75,0
-73.25,33.75,0
-91.25,34.25,12.1
-90.75,34.25,12.1
-90.25,34.25,12
-89.75,34.25,11.8
-89.25,34.25,11.7
-88.75,34.25,11.6
-88.25,34.25,11.7
-87.75,34.25,11.5
-87.25,34.25,11.3
-86.75,34.25,11.2
-86.25,34.25,11.1
-85.75,34.25,11.1
-85.25,34.25,11.2
-84.75,34.25,11
-84.25,34.25,10.6
-83.75,34.25,10.7
-83.25,34.25,11.1
-82.75,34.25,11.4
-82.25,34.25,11.6
-81.75,34.25,11.6
