"","lon","lat","TEM"
"1",-91.25,29.75,13.9
"2",-90.75,29.75,14.1
"3",-90.25,29.75,14.3
"4",-89.75,29.75,14.6
"5",-89.25,29.75,15
"6",-88.75,29.75,15.6
"7",-88.25,29.75,16
"8",-87.75,29.75,16.1
"9",-87.25,29.75,16.4
"10",-86.75,29.75,16.6
"11",-86.25,29.75,16.3
"12",-85.75,29.75,15.4
"13",-85.25,29.75,14.6
"14",-84.75,29.75,14.3
"15",-84.25,29.75,14.3
"16",-83.75,29.75,14.1
"17",-83.25,29.75,14
"18",-82.75,29.75,14.2
"19",-82.25,29.75,14.5
"20",-81.75,29.75,15
"21",-81.25,29.75,16
"22",-80.75,29.75,17.8
"23",-80.25,29.75,19.3
"24",-79.75,29.75,20.2
"25",-79.25,29.75,20.5
"26",-78.75,29.75,20.4
"27",-78.25,29.75,20.2
"28",-77.75,29.75,20.1
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,12.8
"39",-90.75,30.25,13
"40",-90.25,30.25,13.2
"41",-89.75,30.25,13.3
"42",-89.25,30.25,13.5
"43",-88.75,30.25,13.9
"44",-88.25,30.25,14.1
"45",-87.75,30.25,14.1
"46",-87.25,30.25,14.2
"47",-86.75,30.25,14.4
"48",-86.25,30.25,14.1
"49",-85.75,30.25,13.5
"50",-85.25,30.25,13.1
"51",-84.75,30.25,13
"52",-84.25,30.25,13.1
"53",-83.75,30.25,13.1
"54",-83.25,30.25,13.2
"55",-82.75,30.25,13.4
"56",-82.25,30.25,13.8
"57",-81.75,30.25,14.3
"58",-81.25,30.25,15.5
"59",-80.75,30.25,17.2
"60",-80.25,30.25,18.8
"61",-79.75,30.25,19.7
"62",-79.25,30.25,20.1
"63",-78.75,30.25,20
"64",-78.25,30.25,19.9
"65",-77.75,30.25,19.9
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,11.9
"76",-90.75,30.75,12
"77",-90.25,30.75,12
"78",-89.75,30.75,12
"79",-89.25,30.75,12.1
"80",-88.75,30.75,12.3
"81",-88.25,30.75,12.4
"82",-87.75,30.75,12.3
"83",-87.25,30.75,12.3
"84",-86.75,30.75,12.3
"85",-86.25,30.75,12.2
"86",-85.75,30.75,12
"87",-85.25,30.75,12
"88",-84.75,30.75,12
"89",-84.25,30.75,12
"90",-83.75,30.75,12.1
"91",-83.25,30.75,12.3
"92",-82.75,30.75,12.7
"93",-82.25,30.75,13.1
"94",-81.75,30.75,13.7
"95",-81.25,30.75,14.6
"96",-80.75,30.75,16.1
"97",-80.25,30.75,17.8
"98",-79.75,30.75,19
"99",-79.25,30.75,19.6
"100",-78.75,30.75,19.8
"101",-78.25,30.75,19.7
"102",-77.75,30.75,19.6
"103",-77.25,30.75,0
"104",-76.75,30.75,0
"105",-76.25,30.75,0
"106",-75.75,30.75,0
"107",-75.25,30.75,0
"108",-74.75,30.75,0
"109",-74.25,30.75,0
"110",-73.75,30.75,0
"111",-73.25,30.75,0
"112",-91.25,31.25,11.1
"113",-90.75,31.25,11
"114",-90.25,31.25,11
"115",-89.75,31.25,11
"116",-89.25,31.25,11.1
"117",-88.75,31.25,11.1
"118",-88.25,31.25,11.2
"119",-87.75,31.25,11.2
"120",-87.25,31.25,11.2
"121",-86.75,31.25,11.1
"122",-86.25,31.25,11.1
"123",-85.75,31.25,11.1
"124",-85.25,31.25,11.1
"125",-84.75,31.25,11.2
"126",-84.25,31.25,11.2
"127",-83.75,31.25,11.2
"128",-83.25,31.25,11.5
"129",-82.75,31.25,11.8
"130",-82.25,31.25,12.4
"131",-81.75,31.25,12.9
"132",-81.25,31.25,13.6
"133",-80.75,31.25,14.8
"134",-80.25,31.25,16.5
"135",-79.75,31.25,17.9
"136",-79.25,31.25,18.9
"137",-78.75,31.25,19.4
"138",-78.25,31.25,19.4
"139",-77.75,31.25,19.4
"140",-77.25,31.25,0
"141",-76.75,31.25,0
"142",-76.25,31.25,0
"143",-75.75,31.25,0
"144",-75.25,31.25,0
"145",-74.75,31.25,0
"146",-74.25,31.25,0
"147",-73.75,31.25,0
"148",-73.25,31.25,0
"149",-91.25,31.75,10.5
"150",-90.75,31.75,10.4
"151",-90.25,31.75,10.3
"152",-89.75,31.75,10.3
"153",-89.25,31.75,10.3
"154",-88.75,31.75,10.3
"155",-88.25,31.75,10.5
"156",-87.75,31.75,10.5
"157",-87.25,31.75,10.5
"158",-86.75,31.75,10.5
"159",-86.25,31.75,10.4
"160",-85.75,31.75,10.4
"161",-85.25,31.75,10.5
"162",-84.75,31.75,10.5
"163",-84.25,31.75,10.4
"164",-83.75,31.75,10.5
"165",-83.25,31.75,10.7
"166",-82.75,31.75,11
"167",-82.25,31.75,11.5
"168",-81.75,31.75,12
"169",-81.25,31.75,12.6
"170",-80.75,31.75,13.6
"171",-80.25,31.75,15.1
"172",-79.75,31.75,16.6
"173",-79.25,31.75,17.8
"174",-78.75,31.75,18.5
"175",-78.25,31.75,18.8
"176",-77.75,31.75,18.9
"177",-77.25,31.75,0
"178",-76.75,31.75,0
"179",-76.25,31.75,0
"180",-75.75,31.75,0
"181",-75.25,31.75,0
"182",-74.75,31.75,0
"183",-74.25,31.75,0
"184",-73.75,31.75,0
"185",-73.25,31.75,0
"186",-91.25,32.25,9.9
"187",-90.75,32.25,9.8
"188",-90.25,32.25,9.7
"189",-89.75,32.25,9.6
"190",-89.25,32.25,9.6
"191",-88.75,32.25,9.6
"192",-88.25,32.25,9.8
"193",-87.75,32.25,9.9
"194",-87.25,32.25,9.9
"195",-86.75,32.25,9.9
"196",-86.25,32.25,9.8
"197",-85.75,32.25,9.8
"198",-85.25,32.25,9.8
"199",-84.75,32.25,9.8
"200",-84.25,32.25,9.7
"201",-83.75,32.25,9.9
"202",-83.25,32.25,10.1
"203",-82.75,32.25,10.3
"204",-82.25,32.25,10.7
"205",-81.75,32.25,11.1
"206",-81.25,32.25,11.6
"207",-80.75,32.25,12.3
"208",-80.25,32.25,13.4
"209",-79.75,32.25,14.9
"210",-79.25,32.25,16.2
"211",-78.75,32.25,17.2
"212",-78.25,32.25,17.8
"213",-77.75,32.25,18.1
"214",-77.25,32.25,0
"215",-76.75,32.25,0
"216",-76.25,32.25,0
"217",-75.75,32.25,0
"218",-75.25,32.25,0
"219",-74.75,32.25,0
"220",-74.25,32.25,0
"221",-73.75,32.25,0
"222",-73.25,32.25,0
"223",-91.25,32.75,9.2
"224",-90.75,32.75,9.2
"225",-90.25,32.75,9.1
"226",-89.75,32.75,9.1
"227",-89.25,32.75,9
"228",-88.75,32.75,9
"229",-88.25,32.75,9.2
"230",-87.75,32.75,9.3
"231",-87.25,32.75,9.3
"232",-86.75,32.75,9.1
"233",-86.25,32.75,9
"234",-85.75,32.75,9
"235",-85.25,32.75,9
"236",-84.75,32.75,9
"237",-84.25,32.75,9.1
"238",-83.75,32.75,9.3
"239",-83.25,32.75,9.5
"240",-82.75,32.75,9.6
"241",-82.25,32.75,9.9
"242",-81.75,32.75,10.1
"243",-81.25,32.75,10.5
"244",-80.75,32.75,11
"245",-80.25,32.75,11.6
"246",-79.75,32.75,12.7
"247",-79.25,32.75,14
"248",-78.75,32.75,15.5
"249",-78.25,32.75,16.3
"250",-77.75,32.75,17
"251",-77.25,32.75,0
"252",-76.75,32.75,0
"253",-76.25,32.75,0
"254",-75.75,32.75,0
"255",-75.25,32.75,0
"256",-74.75,32.75,0
"257",-74.25,32.75,0
"258",-73.75,32.75,0
"259",-73.25,32.75,0
"260",-91.25,33.25,8.5
"261",-90.75,33.25,8.6
"262",-90.25,33.25,8.6
"263",-89.75,33.25,8.5
"264",-89.25,33.25,8.4
"265",-88.75,33.25,8.5
"266",-88.25,33.25,8.6
"267",-87.75,33.25,8.6
"268",-87.25,33.25,8.5
"269",-86.75,33.25,8.4
"270",-86.25,33.25,8.2
"271",-85.75,33.25,8.1
"272",-85.25,33.25,8.1
"273",-84.75,33.25,8.1
"274",-84.25,33.25,8.3
"275",-83.75,33.25,8.6
"276",-83.25,33.25,8.8
"277",-82.75,33.25,9
"278",-82.25,33.25,9.2
"279",-81.75,33.25,9.3
"280",-81.25,33.25,9.4
"281",-80.75,33.25,9.8
"282",-80.25,33.25,10.1
"283",-79.75,33.25,10.7
"284",-79.25,33.25,11.8
"285",-78.75,33.25,13.2
"286",-78.25,33.25,14.2
"287",-77.75,33.25,15.2
"288",-77.25,33.25,0
"289",-76.75,33.25,0
"290",-76.25,33.25,0
"291",-75.75,33.25,0
"292",-75.25,33.25,0
"293",-74.75,33.25,0
"294",-74.25,33.25,0
"295",-73.75,33.25,0
"296",-73.25,33.25,0
"297",-91.25,33.75,7.8
"298",-90.75,33.75,7.9
"299",-90.25,33.75,7.9
"300",-89.75,33.75,7.8
"301",-89.25,33.75,7.8
"302",-88.75,33.75,7.8
"303",-88.25,33.75,7.9
"304",-87.75,33.75,7.8
"305",-87.25,33.75,7.7
"306",-86.75,33.75,7.7
"307",-86.25,33.75,7.5
"308",-85.75,33.75,7.4
"309",-85.25,33.75,7.4
"310",-84.75,33.75,7.4
"311",-84.25,33.75,7.4
"312",-83.75,33.75,7.7
"313",-83.25,33.75,8.1
"314",-82.75,33.75,8.3
"315",-82.25,33.75,8.5
"316",-81.75,33.75,8.6
"317",-81.25,33.75,8.6
"318",-80.75,33.75,8.8
"319",-80.25,33.75,8.9
"320",-79.75,33.75,9.2
"321",-79.25,33.75,9.8
"322",-78.75,33.75,10.7
"323",-78.25,33.75,11.2
"324",-77.75,33.75,12.6
"325",-77.25,33.75,0
"326",-76.75,33.75,0
"327",-76.25,33.75,0
"328",-75.75,33.75,0
"329",-75.25,33.75,0
"330",-74.75,33.75,0
"331",-74.25,33.75,0
"332",-73.75,33.75,0
"333",-73.25,33.75,0
"334",-91.25,34.25,7.1
"335",-90.75,34.25,7.2
"336",-90.25,34.25,7.1
"337",-89.75,34.25,7
"338",-89.25,34.25,7
"339",-88.75,34.25,7
"340",-88.25,34.25,7.1
"341",-87.75,34.25,6.9
"342",-87.25,34.25,6.8
"343",-86.75,34.25,6.8
"344",-86.25,34.25,6.7
"345",-85.75,34.25,6.7
"346",-85.25,34.25,6.8
"347",-84.75,34.25,6.7
"348",-84.25,34.25,6.4
"349",-83.75,34.25,6.6
"350",-83.25,34.25,7.1
"351",-82.75,34.25,7.5
"352",-82.25,34.25,7.8
"353",-81.75,34.25,7.8
"354",-81.25,34.25,7.9
"355",-80.75,34.25,7.9
"356",-80.25,34.25,8
"357",-79.75,34.25,8.1
"358",-79.25,34.25,8.3
"359",-78.75,34.25,8.6
"360",-78.25,34.25,8.9
"361",-77.75,34.25,10.1
"362",-77.25,34.25,11.6
"363",-76.75,34.25,13.1
"364",-76.25,34.25,14.7
"365",-75.75,34.25,15.8
"366",-75.25,34.25,16.3
