"","lon","lat","TEM"
"1",-91.25,29.75,24.8
"2",-90.75,29.75,24.7
"3",-90.25,29.75,24.8
"4",-89.75,29.75,25
"5",-89.25,29.75,25
"6",-88.75,29.75,24.8
"7",-88.25,29.75,24.7
"8",-87.75,29.75,24.6
"9",-87.25,29.75,24.5
"10",-86.75,29.75,24.4
"11",-86.25,29.75,24.3
"12",-85.75,29.75,24.2
"13",-85.25,29.75,24.3
"14",-84.75,29.75,24.3
"15",-84.25,29.75,24.3
"16",-83.75,29.75,24.5
"17",-83.25,29.75,24.7
"18",-82.75,29.75,24.9
"19",-82.25,29.75,25
"20",-81.75,29.75,25
"21",-81.25,29.75,24.6
"22",-80.75,29.75,24.3
"23",-80.25,29.75,24.8
"24",-79.75,29.75,25.1
"25",-79.25,29.75,25.1
"26",-78.75,29.75,24.8
"27",-78.25,29.75,24.6
"28",-77.75,29.75,24.5
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,24.5
"39",-90.75,30.25,24.4
"40",-90.25,30.25,24.3
"41",-89.75,30.25,24.4
"42",-89.25,30.25,24.4
"43",-88.75,30.25,24.5
"44",-88.25,30.25,24.4
"45",-87.75,30.25,24.2
"46",-87.25,30.25,24.1
"47",-86.75,30.25,24
"48",-86.25,30.25,24
"49",-85.75,30.25,23.9
"50",-85.25,30.25,24.1
"51",-84.75,30.25,24.2
"52",-84.25,30.25,24.2
"53",-83.75,30.25,24.3
"54",-83.25,30.25,24.4
"55",-82.75,30.25,24.5
"56",-82.25,30.25,24.7
"57",-81.75,30.25,24.7
"58",-81.25,30.25,24.2
"59",-80.75,30.25,24.1
"60",-80.25,30.25,24.6
"61",-79.75,30.25,25
"62",-79.25,30.25,25
"63",-78.75,30.25,24.8
"64",-78.25,30.25,24.5
"65",-77.75,30.25,24.4
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,24
"76",-90.75,30.75,23.8
"77",-90.25,30.75,23.7
"78",-89.75,30.75,23.6
"79",-89.25,30.75,23.6
"80",-88.75,30.75,23.9
"81",-88.25,30.75,23.8
"82",-87.75,30.75,23.7
"83",-87.25,30.75,23.6
"84",-86.75,30.75,23.5
"85",-86.25,30.75,23.5
"86",-85.75,30.75,23.5
"87",-85.25,30.75,23.6
"88",-84.75,30.75,23.7
"89",-84.25,30.75,23.7
"90",-83.75,30.75,23.7
"91",-83.25,30.75,23.9
"92",-82.75,30.75,24.2
"93",-82.25,30.75,24.5
"94",-81.75,30.75,24.5
"95",-81.25,30.75,24
"96",-80.75,30.75,23.9
"97",-80.25,30.75,24.4
"98",-79.75,30.75,24.8
"99",-79.25,30.75,25
"100",-78.75,30.75,24.8
"101",-78.25,30.75,24.6
"102",-77.75,30.75,24.4
"103",-77.25,30.75,0
"104",-76.75,30.75,0
"105",-76.25,30.75,0
"106",-75.75,30.75,0
"107",-75.25,30.75,0
"108",-74.75,30.75,0
"109",-74.25,30.75,0
"110",-73.75,30.75,0
"111",-73.25,30.75,0
"112",-91.25,31.25,23.6
"113",-90.75,31.25,23.2
"114",-90.25,31.25,23.1
"115",-89.75,31.25,23.1
"116",-89.25,31.25,23.1
"117",-88.75,31.25,23.2
"118",-88.25,31.25,23.3
"119",-87.75,31.25,23.2
"120",-87.25,31.25,23.3
"121",-86.75,31.25,23.3
"122",-86.25,31.25,23.2
"123",-85.75,31.25,23.1
"124",-85.25,31.25,23.1
"125",-84.75,31.25,23.2
"126",-84.25,31.25,23.2
"127",-83.75,31.25,23.2
"128",-83.25,31.25,23.4
"129",-82.75,31.25,23.7
"130",-82.25,31.25,24.1
"131",-81.75,31.25,24.3
"132",-81.25,31.25,24
"133",-80.75,31.25,23.6
"134",-80.25,31.25,24
"135",-79.75,31.25,24.5
"136",-79.25,31.25,24.8
"137",-78.75,31.25,24.8
"138",-78.25,31.25,24.7
"139",-77.75,31.25,24.5
"140",-77.25,31.25,0
"141",-76.75,31.25,0
"142",-76.25,31.25,0
"143",-75.75,31.25,0
"144",-75.25,31.25,0
"145",-74.75,31.25,0
"146",-74.25,31.25,0
"147",-73.75,31.25,0
"148",-73.25,31.25,0
"149",-91.25,31.75,23.4
"150",-90.75,31.75,23
"151",-90.25,31.75,22.8
"152",-89.75,31.75,22.7
"153",-89.25,31.75,22.8
"154",-88.75,31.75,22.8
"155",-88.25,31.75,22.8
"156",-87.75,31.75,22.9
"157",-87.25,31.75,22.9
"158",-86.75,31.75,23
"159",-86.25,31.75,23
"160",-85.75,31.75,22.9
"161",-85.25,31.75,22.9
"162",-84.75,31.75,22.9
"163",-84.25,31.75,22.8
"164",-83.75,31.75,22.8
"165",-83.25,31.75,23
"166",-82.75,31.75,23.3
"167",-82.25,31.75,23.7
"168",-81.75,31.75,24
"169",-81.25,31.75,24.1
"170",-80.75,31.75,23.5
"171",-80.25,31.75,23.5
"172",-79.75,31.75,24
"173",-79.25,31.75,24.4
"174",-78.75,31.75,24.7
"175",-78.25,31.75,24.7
"176",-77.75,31.75,24.6
"177",-77.25,31.75,0
"178",-76.75,31.75,0
"179",-76.25,31.75,0
"180",-75.75,31.75,0
"181",-75.25,31.75,0
"182",-74.75,31.75,0
"183",-74.25,31.75,0
"184",-73.75,31.75,0
"185",-73.25,31.75,0
"186",-91.25,32.25,23.1
"187",-90.75,32.25,22.8
"188",-90.25,32.25,22.5
"189",-89.75,32.25,22.3
"190",-89.25,32.25,22.4
"191",-88.75,32.25,22.4
"192",-88.25,32.25,22.5
"193",-87.75,32.25,22.5
"194",-87.25,32.25,22.5
"195",-86.75,32.25,22.5
"196",-86.25,32.25,22.5
"197",-85.75,32.25,22.5
"198",-85.25,32.25,22.6
"199",-84.75,32.25,22.5
"200",-84.25,32.25,22.4
"201",-83.75,32.25,22.5
"202",-83.25,32.25,22.8
"203",-82.75,32.25,23
"204",-82.25,32.25,23.3
"205",-81.75,32.25,23.5
"206",-81.25,32.25,24
"207",-80.75,32.25,23.6
"208",-80.25,32.25,23.4
"209",-79.75,32.25,23.4
"210",-79.25,32.25,23.8
"211",-78.75,32.25,24.2
"212",-78.25,32.25,24.4
"213",-77.75,32.25,24.5
"214",-77.25,32.25,0
"215",-76.75,32.25,0
"216",-76.25,32.25,0
"217",-75.75,32.25,0
"218",-75.25,32.25,0
"219",-74.75,32.25,0
"220",-74.25,32.25,0
"221",-73.75,32.25,0
"222",-73.25,32.25,0
"223",-91.25,32.75,22.9
"224",-90.75,32.75,22.5
"225",-90.25,32.75,22.2
"226",-89.75,32.75,22.1
"227",-89.25,32.75,22.1
"228",-88.75,32.75,22.2
"229",-88.25,32.75,22.2
"230",-87.75,32.75,22.1
"231",-87.25,32.75,22
"232",-86.75,32.75,21.9
"233",-86.25,32.75,21.8
"234",-85.75,32.75,21.9
"235",-85.25,32.75,22
"236",-84.75,32.75,22
"237",-84.25,32.75,22.1
"238",-83.75,32.75,22.3
"239",-83.25,32.75,22.6
"240",-82.75,32.75,22.8
"241",-82.25,32.75,22.9
"242",-81.75,32.75,23
"243",-81.25,32.75,23.4
"244",-80.75,32.75,23.5
"245",-80.25,32.75,23.4
"246",-79.75,32.75,23.2
"247",-79.25,32.75,23.1
"248",-78.75,32.75,23.4
"249",-78.25,32.75,23.7
"250",-77.75,32.75,24
"251",-77.25,32.75,0
"252",-76.75,32.75,0
"253",-76.25,32.75,0
"254",-75.75,32.75,0
"255",-75.25,32.75,0
"256",-74.75,32.75,0
"257",-74.25,32.75,0
"258",-73.75,32.75,0
"259",-73.25,32.75,0
"260",-91.25,33.25,22.6
"261",-90.75,33.25,22.4
"262",-90.25,33.25,22.1
"263",-89.75,33.25,21.9
"264",-89.25,33.25,21.8
"265",-88.75,33.25,22
"266",-88.25,33.25,21.8
"267",-87.75,33.25,21.7
"268",-87.25,33.25,21.5
"269",-86.75,33.25,21.4
"270",-86.25,33.25,21.3
"271",-85.75,33.25,21.3
"272",-85.25,33.25,21.4
"273",-84.75,33.25,21.4
"274",-84.25,33.25,21.5
"275",-83.75,33.25,21.9
