"","lon","lat","TEM"
"1",-91.25,29.75,11.4
"2",-90.75,29.75,11.5
"3",-90.25,29.75,11.9
"4",-89.75,29.75,12.4
"5",-89.25,29.75,13
"6",-88.75,29.75,14.1
"7",-88.25,29.75,14.7
"8",-87.75,29.75,15
"9",-87.25,29.75,15.4
"10",-86.75,29.75,15.7
"11",-86.25,29.75,15.4
"12",-85.75,29.75,14.2
"13",-85.25,29.75,13.1
"14",-84.75,29.75,12.8
"15",-84.25,29.75,12.8
"16",-83.75,29.75,12.4
"17",-83.25,29.75,11.9
"18",-82.75,29.75,11.8
"19",-82.25,29.75,12.2
"20",-81.75,29.75,12.9
"21",-81.25,29.75,14.5
"22",-80.75,29.75,16.9
"23",-80.25,29.75,18.8
"24",-79.75,29.75,19.7
"25",-79.25,29.75,20.1
"26",-78.75,29.75,20
"27",-78.25,29.75,20
"28",-77.75,29.75,20
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,10.1
"39",-90.75,30.25,10.4
"40",-90.25,30.25,10.6
"41",-89.75,30.25,10.9
"42",-89.25,30.25,11.2
"43",-88.75,30.25,11.8
"44",-88.25,30.25,12.2
"45",-87.75,30.25,12.4
"46",-87.25,30.25,12.6
"47",-86.75,30.25,12.8
"48",-86.25,30.25,12.5
"49",-85.75,30.25,11.5
"50",-85.25,30.25,10.9
"51",-84.75,30.25,10.7
"52",-84.25,30.25,10.9
"53",-83.75,30.25,10.8
"54",-83.25,30.25,10.7
"55",-82.75,30.25,10.9
"56",-82.25,30.25,11.3
"57",-81.75,30.25,12.2
"58",-81.25,30.25,14.2
"59",-80.75,30.25,16.4
"60",-80.25,30.25,18.1
"61",-79.75,30.25,19.2
"62",-79.25,30.25,19.6
"63",-78.75,30.25,19.6
"64",-78.25,30.25,19.6
"65",-77.75,30.25,19.6
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,9.2
"76",-90.75,30.75,9.2
"77",-90.25,30.75,9.2
"78",-89.75,30.75,9.3
"79",-89.25,30.75,9.5
"80",-88.75,30.75,9.9
"81",-88.25,30.75,10
"82",-87.75,30.75,10
"83",-87.25,30.75,10
"84",-86.75,30.75,10.1
"85",-86.25,30.75,9.9
"86",-85.75,30.75,9.6
"87",-85.25,30.75,9.5
"88",-84.75,30.75,9.5
"89",-84.25,30.75,9.5
"90",-83.75,30.75,9.6
"91",-83.25,30.75,9.8
"92",-82.75,30.75,10.1
"93",-82.25,30.75,10.6
"94",-81.75,30.75,11.5
"95",-81.25,30.75,13.4
"96",-80.75,30.75,15.4
"97",-80.25,30.75,17.2
"98",-79.75,30.75,18.4
"99",-79.25,30.75,19.1
"100",-78.75,30.75,19.3
"101",-78.25,30.75,19.3
"102",-77.75,30.75,19.3
"103",-77.25,30.75,0
"104",-76.75,30.75,0
"105",-76.25,30.75,0
"106",-75.75,30.75,0
"107",-75.25,30.75,0
"108",-74.75,30.75,0
"109",-74.25,30.75,0
"110",-73.75,30.75,0
"111",-73.25,30.75,0
"112",-91.25,31.25,8.4
"113",-90.75,31.25,8.2
"114",-90.25,31.25,8.2
"115",-89.75,31.25,8.3
"116",-89.25,31.25,8.4
"117",-88.75,31.25,8.5
"118",-88.25,31.25,8.6
"119",-87.75,31.25,8.6
