"lon","lat","TEM"
-91.25,29.75,13.6
-90.75,29.75,13.7
-90.25,29.75,14
-89.75,29.75,14.6
-89.25,29.75,15.3
-88.75,29.75,16.4
-88.25,29.75,17.1
-87.75,29.75,17.4
-87.25,29.75,17.7
-86.75,29.75,18
-86.25,29.75,17.7
-85.75,29.75,16.6
-85.25,29.75,15.6
-84.75,29.75,15.3
-84.25,29.75,15.4
-83.75,29.75,15.1
-83.25,29.75,14.7
-82.75,29.75,14.7
-82.25,29.75,15.1
-81.75,29.75,15.8
-81.25,29.75,17.2
-80.75,29.75,19.3
-80.25,29.75,21
-79.75,29.75,21.9
-79.25,29.75,22.1
-78.75,29.75,22
-78.25,29.75,21.9
-77.75,29.75,21.9
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,12.5
-90.75,30.25,12.6
-90.25,30.25,12.8
-89.75,30.25,13.1
-89.25,30.25,13.5
-88.75,30.25,14.3
-88.25,30.25,14.7
-87.75,30.25,14.9
-87.25,30.25,15.1
-86.75,30.25,15.3
-86.25,30.25,15
-85.75,30.25,14.1
-85.25,30.25,13.5
-84.75,30.25,13.4
-84.25,30.25,13.7
-83.75,30.25,13.7
-83.25,30.25,13.7
-82.75,30.25,13.9
-82.25,30.25,14.4
-81.75,30.25,15.1
-81.25,30.25,16.8
-80.75,30.25,18.9
-80.25,30.25,20.5
-79.75,30.25,21.4
-79.25,30.25,21.7
-78.75,30.25,21.7
-78.25,30.25,21.6
-77.75,30.25,21.6
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,11.5
-90.75,30.75,11.5
-90.25,30.75,11.5
-89.75,30.75,11.6
-89.25,30.75,11.8
-88.75,30.75,12.3
-88.25,30.75,12.5
-87.75,30.75,12.5
-87.25,30.75,12.6
-86.75,30.75,12.6
-86.25,30.75,12.5
-85.75,30.75,12.3
-85.25,30.75,12.3
-84.75,30.75,12.4
-84.25,30.75,12.5
-83.75,30.75,12.6
-83.25,30.75,12.9
-82.75,30.75,13.2
-82.25,30.75,13.7
-81.75,30.75,14.4
-81.25,30.75,16
-80.75,30.75,17.9
-80.25,30.75,19.6
-79.75,30.75,20.8
-79.25,30.75,21.3
-78.75,30.75,21.4
-78.25,30.75,21.4
-77.75,30.75,21.4
-77.25,30.75,0
-76.75,30.75,0
-76.25,30.75,0
-75.75,30.75,0
-75.25,30.75,0
-74.75,30.75,0
-74.25,30.75,0
-73.75,30.75,0
-73.25,30.75,0
-91.25,31.25,10.7
-90.75,31.25,10.6
-90.25,31.25,10.6
-89.75,31.25,10.7
-89.25,31.25,10.8
-88.75,31.25,10.9
-88.25,31.25,11
-87.75,31.25,11.1
-87.25,31.25,11.1
-86.75,31.25,11.1
-86.25,31.25,11.2
-85.75,31.25,11.4
-85.25,31.25,11.5
-84.75,31.25,11.6
-84.25,31.25,11.8
-83.75,31.25,11.8
-83.25,31.25,12.1
-82.75,31.25,12.4
-82.25,31.25,12.9
-81.75,31.25,13.6
-81.25,31.25,14.8
-80.75,31.25,16.6
-80.25,31.25,18.4
-79.75,31.25,19.9
-79.25,31.25,20.8
-78.75,31.25,21.1
-78.25,31.25,21.2
-77.75,31.25,21.2
-77.25,31.25,0
-76.75,31.25,0
-76.25,31.25,0
-75.75,31.25,0
-75.25,31.25,0
-74.75,31.25,0
-74.25,31.25,0
-73.75,31.25,0
-73.25,31.25,0
-91.25,31.75,10.1
-90.75,31.75,10
-90.25,31.75,9.9
-89.75,31.75,10
-89.25,31.75,10
-88.75,31.75,10
-88.25,31.75,10.2
-87.75,31.75,10.3
-87.25,31.75,10.3
-86.75,31.75,10.4
-86.25,31.75,10.4
-85.75,31.75,10.6
-85.25,31.75,10.8
-84.75,31.75,10.9
-84.25,31.75,11
-83.75,31.75,11.1
-83.25,31.75,11.3
-82.75,31.75,11.6
-82.25,31.75,12.1
-81.75,31.75,12.6
-81.25,31.75,13.4
-80.75,31.75,15
-80.25,31.75,17
-79.75,31.75,18.6
-79.25,31.75,19.8
-78.75,31.75,20.5
-78.25,31.75,20.7
-77.75,31.75,20.9
-77.25,31.75,0
-76.75,31.75,0
-76.25,31.75,0
-75.75,31.75,0
-75.25,31.75,0
-74.75,31.75,0
-74.25,31.75,0
-73.75,31.75,0
-73.25,31.75,0
-91.25,32.25,9.5
-90.75,32.25,9.5
-90.25,32.25,9.4
-89.75,32.25,9.3
-89.25,32.25,9.3
