"","lon","lat","TEM"
"1",-91.25,29.75,26.6
"2",-90.75,29.75,26.7
"3",-90.25,29.75,27
"4",-89.75,29.75,27.4
"5",-89.25,29.75,27.6
"6",-88.75,29.75,27.7
"7",-88.25,29.75,27.8
"8",-87.75,29.75,27.6
"9",-87.25,29.75,27.6
"10",-86.75,29.75,27.6
"11",-86.25,29.75,27.6
"12",-85.75,29.75,27.3
"13",-85.25,29.75,27
"14",-84.75,29.75,27
"15",-84.25,29.75,27.1
"16",-83.75,29.75,27
"17",-83.25,29.75,26.5
"18",-82.75,29.75,26.2
"19",-82.25,29.75,26.2
"20",-81.75,29.75,26.5
"21",-81.25,29.75,27
"22",-80.75,29.75,27.4
"23",-80.25,29.75,27.8
"24",-79.75,29.75,27.9
"25",-79.25,29.75,27.9
"26",-78.75,29.75,27.9
"27",-78.25,29.75,27.8
"28",-77.75,29.75,27.8
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,26.1
"39",-90.75,30.25,26.2
"40",-90.25,30.25,26.4
"41",-89.75,30.25,26.6
"42",-89.25,30.25,26.9
"43",-88.75,30.25,27.1
"44",-88.25,30.25,27.1
"45",-87.75,30.25,26.9
"46",-87.25,30.25,26.8
"47",-86.75,30.25,26.8
"48",-86.25,30.25,26.8
"49",-85.75,30.25,26.4
"50",-85.25,30.25,26.3
"51",-84.75,30.25,26.3
"52",-84.25,30.25,26.4
"53",-83.75,30.25,26.3
"54",-83.25,30.25,26
"55",-82.75,30.25,25.9
"56",-82.25,30.25,26.1
"57",-81.75,30.25,26.4
"58",-81.25,30.25,27
"59",-80.75,30.25,27.3
"60",-80.25,30.25,27.6
"61",-79.75,30.25,27.8
"62",-79.25,30.25,27.8
"63",-78.75,30.25,27.7
"64",-78.25,30.25,27.7
"65",-77.75,30.25,27.6
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,25.9
"76",-90.75,30.75,25.9
"77",-90.25,30.75,25.9
"78",-89.75,30.75,25.9
"79",-89.25,30.75,26
"80",-88.75,30.75,26.3
"81",-88.25,30.75,26.3
"82",-87.75,30.75,26.1
"83",-87.25,30.75,25.9
"84",-86.75,30.75,25.9
"85",-86.25,30.75,25.9
"86",-85.75,30.75,25.8
"87",-85.25,30.75,25.9
"88",-84.75,30.75,26
"89",-84.25,30.75,25.9
"90",-83.75,30.75,25.7
"91",-83.25,30.75,25.7
"92",-82.75,30.75,25.8
"93",-82.25,30.75,26
"94",-81.75,30.75,26.4
"95",-81.25,30.75,27
"96",-80.75,30.75,27.2
"97",-80.25,30.75,27.5
"98",-79.75,30.75,27.6
"99",-79.25,30.75,27.7
"100",-78.75,30.75,27.6
"101",-78.25,30.75,27.6
"102",-77.75,30.75,27.5
"103",-77.25,30.75,0
"104",-76.75,30.75,0
"105",-76.25,30.75,0
"106",-75.75,30.75,0
"107",-75.25,30.75,0
"108",-74.75,30.75,0
"109",-74.25,30.75,0
"110",-73.75,30.75,0
"111",-73.25,30.75,0
"112",-91.25,31.25,26
"113",-90.75,31.25,25.6
"114",-90.25,31.25,25.6
"115",-89.75,31.25,25.6
"116",-89.25,31.25,25.8
"117",-88.75,31.25,25.8
"118",-88.25,31.25,25.9
"119",-87.75,31.25,25.8
"120",-87.25,31.25,25.6
"121",-86.75,31.25,25.5
"122",-86.25,31.25,25.5
"123",-85.75,31.25,25.6
"124",-85.25,31.25,25.7
"125",-84.75,31.25,25.8
"126",-84.25,31.25,25.7
"127",-83.75,31.25,25.4
"128",-83.25,31.25,25.5
"129",-82.75,31.25,25.6
"130",-82.25,31.25,25.9
"131",-81.75,31.25,26.2
"132",-81.25,31.25,26.7
"133",-80.75,31.25,26.9
"134",-80.25,31.25,27.2
"135",-79.75,31.25,27.4
"136",-79.25,31.25,27.6
"137",-78.75,31.25,27.6
"138",-78.25,31.25,27.5
"139",-77.75,31.25,27.5
"140",-77.25,31.25,0
"141",-76.75,31.25,0
"142",-76.25,31.25,0
"143",-75.75,31.25,0
"144",-75.25,31.25,0
"145",-74.75,31.25,0
