"lon","lat","TEM"
-91.25,29.75,20.8
-90.75,29.75,20.8
-90.25,29.75,21.1
-89.75,29.75,21.3
-89.25,29.75,21.3
-88.75,29.75,21.2
-88.25,29.75,21.2
-87.75,29.75,21.1
-87.25,29.75,21.1
-86.75,29.75,21.2
-86.25,29.75,21
-85.75,29.75,20.7
-85.25,29.75,20.6
-84.75,29.75,20.6
-84.25,29.75,20.6
-83.75,29.75,20.8
-83.25,29.75,21
-82.75,29.75,21.2
-82.25,29.75,21.5
-81.75,29.75,21.7
-81.25,29.75,21.6
-80.75,29.75,21.8
-80.25,29.75,22.7
-79.75,29.75,23.3
-79.25,29.75,23.3
-78.75,29.75,23
-78.25,29.75,22.7
-77.75,29.75,22.6
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,20.1
-90.75,30.25,20.1
-90.25,30.25,20.2
-89.75,30.25,20.4
-89.25,30.25,20.5
-88.75,30.25,20.5
-88.25,30.25,20.5
-87.75,30.25,20.3
-87.25,30.25,20.2
-86.75,30.25,20.2
-86.25,30.25,20.1
-85.75,30.25,20
-85.25,30.25,20.1
-84.75,30.25,20.2
-84.25,30.25,20.3
-83.75,30.25,20.3
-83.25,30.25,20.4
-82.75,30.25,20.7
-82.25,30.25,21
-81.75,30.25,21.2
-81.25,30.25,21
-80.75,30.25,21.4
-80.25,30.25,22.4
-79.75,30.25,23.1
-79.25,30.25,23.1
-78.75,30.25,22.9
-78.25,30.25,22.6
-77.75,30.25,22.4
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,19.5
-90.75,30.75,19.4
-90.25,30.75,19.4
-89.75,30.75,19.4
-89.25,30.75,19.5
-88.75,30.75,19.7
-88.25,30.75,19.6
-87.75,30.75,19.6
-87.25,30.75,19.5
-86.75,30.75,19.4
-86.25,30.75,19.4
-85.75,30.75,19.3
-85.25,30.75,19.4
-84.75,30.75,19.5
-84.25,30.75,19.5
-83.75,30.75,19.5
-83.25,30.75,19.8
-82.75,30.75,20.2
-82.25,30.75,20.6
-81.75,30.75,20.8
-81.25,30.75,20.5
-80.75,30.75,20.8
-80.25,30.75,21.8
-79.75,30.75,22.6
-79.25,30.75,23
-78.75,30.75,22.8
-78.25,30.75,22.6
-77.75,30.75,22.3
-77.25,30.75,0
-76.75,30.75,0
-76.25,30.75,0
-75.75,30.75,0
-75.25,30.75,0
-74.75,30.75,0
-74.25,30.75,0
-73.75,30.75,0
-73.25,30.75,0
-91.25,31.25,19
-90.75,31.25,18.8
-90.25,31.25,18.7
-89.75,31.25,18.7
-89.25,31.25,18.8
-88.75,31.25,18.9
-88.25,31.25,18.9
-87.75,31.25,18.9
-87.25,31.25,18.9
-86.75,31.25,18.9
-86.25,31.25,18.9
-85.75,31.25,18.8
-85.25,31.25,18.8
-84.75,31.25,18.9
-84.25,31.25,18.9
-83.75,31.25,18.9
-83.25,31.25,19.2
-82.75,31.25,19.5
-82.25,31.25,20
-81.75,31.25,20.4
-81.25,31.25,20.2
-80.75,31.25,20.1
-80.25,31.25,21
-79.75,31.25,22
-79.25,31.25,22.7
-78.75,31.25,22.8
-78.25,31.25,22.6
-77.75,31.25,22.4
-77.25,31.25,0
-76.75,31.25,0
-76.25,31.25,0
-75.75,31.25,0
-75.25,31.25,0
-74.75,31.25,0
-74.25,31.25,0
-73.75,31.25,0
-73.25,31.25,0
-91.25,31.75,18.7
-90.75,31.75,18.5
-90.25,31.75,18.4
-89.75,31.75,18.3
-89.25,31.75,18.3
-88.75,31.75,18.3
-88.25,31.75,18.5
-87.75,31.75,18.5
-87.25,31.75,18.5
-86.75,31.75,18.5
-86.25,31.75,18.5
-85.75,31.75,18.5
-85.25,31.75,18.5
-84.75,31.75,18.4
-84.25,31.75,18.4
-83.75,31.75,18.5
-83.25,31.75,18.7
-82.75,31.75,19
-82.25,31.75,19.5
-81.75,31.75,19.9
-81.25,31.75,20
-80.75,31.75,19.6
-80.25,31.75,20.1
-79.75,31.75,21
-79.25,31.75,21.9
-78.75,31.75,22.4
-78.25,31.75,22.4
-77.75,31.75,22.4
-77.25,31.75,0
-76.75,31.75,0
-76.25,31.75,0
-75.75,31.75,0
-75.25,31.75,0
-74.75,31.75,0
-74.25,31.75,0
-73.75,31.75,0
-73.25,31.75,0
-91.25,32.25,18.4
-90.75,32.25,18.2
-90.25,32.25,18
-89.75,32.25,17.9
-89.25,32.25,17.9
-88.75,32.25,17.9
-88.25,32.25,18
-87.75,32.25,18.1
