"","lon","lat","TEM"
"1",-91.25,29.75,21.1
"2",-90.75,29.75,21.1
"3",-90.25,29.75,21.4
"4",-89.75,29.75,21.7
"5",-89.25,29.75,22
"6",-88.75,29.75,22.3
"7",-88.25,29.75,22.5
"8",-87.75,29.75,22.5
"9",-87.25,29.75,22.6
"10",-86.75,29.75,22.7
"11",-86.25,29.75,22.5
"12",-85.75,29.75,22
"13",-85.25,29.75,21.5
"14",-84.75,29.75,21.4
"15",-84.25,29.75,21.5
"16",-83.75,29.75,21.4
"17",-83.25,29.75,21.1
"18",-82.75,29.75,21.1
"19",-82.25,29.75,21.2
"20",-81.75,29.75,21.6
"21",-81.25,29.75,22.1
"22",-80.75,29.75,23
"23",-80.25,29.75,23.9
"24",-79.75,29.75,24.4
"25",-79.25,29.75,24.5
"26",-78.75,29.75,24.4
"27",-78.25,29.75,24.3
"28",-77.75,29.75,24.2
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,20.4
"39",-90.75,30.25,20.5
"40",-90.25,30.25,20.6
"41",-89.75,30.25,20.7
"42",-89.25,30.25,20.9
"43",-88.75,30.25,21.3
"44",-88.25,30.25,21.4
"45",-87.75,30.25,21.3
"46",-87.25,30.25,21.2
"47",-86.75,30.25,21.3
"48",-86.25,30.25,21.2
"49",-85.75,30.25,20.7
"50",-85.25,30.25,20.5
"51",-84.75,30.25,20.5
"52",-84.25,30.25,20.6
"53",-83.75,30.25,20.6
"54",-83.25,30.25,20.5
"55",-82.75,30.25,20.6
"56",-82.25,30.25,20.9
"57",-81.75,30.25,21.2
"58",-81.25,30.25,21.9
"59",-80.75,30.25,22.7
"60",-80.25,30.25,23.6
"61",-79.75,30.25,24.2
"62",-79.25,30.25,24.3
"63",-78.75,30.25,24.2
"64",-78.25,30.25,24.1
"65",-77.75,30.25,24
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,19.9
"76",-90.75,30.75,19.8
"77",-90.25,30.75,19.7
"78",-89.75,30.75,19.7
"79",-89.25,30.75,19.8
"80",-88.75,30.75,20.1
"81",-88.25,30.75,20.2
"82",-87.75,30.75,20.1
"83",-87.25,30.75,20
"84",-86.75,30.75,20
"85",-86.25,30.75,19.9
"86",-85.75,30.75,19.7
"87",-85.25,30.75,19.8
"88",-84.75,30.75,19.9
"89",-84.25,30.75,19.9
"90",-83.75,30.75,19.8
"91",-83.25,30.75,20
"92",-82.75,30.75,20.2
"93",-82.25,30.75,20.6
"94",-81.75,30.75,20.9
"95",-81.25,30.75,21.5
"96",-80.75,30.75,22.2
"97",-80.25,30.75,23.1
"98",-79.75,30.75,23.8
"99",-79.25,30.75,24.1
"100",-78.75,30.75,24.1
"101",-78.25,30.75,24
"102",-77.75,30.75,23.9
"103",-77.25,30.75,0
"104",-76.75,30.75,0
"105",-76.25,30.75,0
"106",-75.75,30.75,0
"107",-75.25,30.75,0
"108",-74.75,30.75,0
"109",-74.25,30.75,0
"110",-73.75,30.75,0
"111",-73.25,30.75,0
"112",-91.25,31.25,19.5
"113",-90.75,31.25,19.2
"114",-90.25,31.25,19.1
"115",-89.75,31.25,19.2
"116",-89.25,31.25,19.3
"117",-88.75,31.25,19.4
"118",-88.25,31.25,19.4
"119",-87.75,31.25,19.4
"120",-87.25,31.25,19.3
"121",-86.75,31.25,19.3
"122",-86.25,31.25,19.2
"123",-85.75,31.25,19.2
"124",-85.25,31.25,19.3
"125",-84.75,31.25,19.4
"126",-84.25,31.25,19.4
"127",-83.75,31.25,19.3
"128",-83.25,31.25,19.5
"129",-82.75,31.25,19.8
"130",-82.25,31.25,20.1
"131",-81.75,31.25,20.6
"132",-81.25,31.25,21
"133",-80.75,31.25,21.5
"134",-80.25,31.25,22.5
"135",-79.75,31.25,23.2
"136",-79.25,31.25,23.8
"137",-78.75,31.25,24
"138",-78.25,31.25,23.9
"139",-77.75,31.25,23.8
"140",-77.25,31.25,0
"141",-76.75,31.25,0
"142",-76.25,31.25,0
"143",-75.75,31.25,0
"144",-75.25,31.25,0
"145",-74.75,31.25,0
"146",-74.25,31.25,0
"147",-73.75,31.25,0
"148",-73.25,31.25,0
"149",-91.25,31.75,19.3
"150",-90.75,31.75,19
"151",-90.25,31.75,18.8
"152",-89.75,31.75,18.8
"153",-89.25,31.75,18.9
"154",-88.75,31.75,18.9
"155",-88.25,31.75,19
"156",-87.75,31.75,19
"157",-87.25,31.75,19
"158",-86.75,31.75,19
"159",-86.25,31.75,18.9
"160",-85.75,31.75,18.9
"161",-85.25,31.75,19
"162",-84.75,31.75,19
"163",-84.25,31.75,19
"164",-83.75,31.75,19
"165",-83.25,31.75,19.1
"166",-82.75,31.75,19.4
"167",-82.25,31.75,19.7
"168",-81.75,31.75,20.1
"169",-81.25,31.75,20.5
"170",-80.75,31.75,20.9
"171",-80.25,31.75,21.6
"172",-79.75,31.75,22.5
"173",-79.25,31.75,23.2
"174",-78.75,31.75,23.6
"175",-78.25,31.75,23.7
"176",-77.75,31.75,23.7
"177",-77.25,31.75,0
"178",-76.75,31.75,0
"179",-76.25,31.75,0
"180",-75.75,31.75,0
"181",-75.25,31.75,0
"182",-74.75,31.75,0
"183",-74.25,31.75,0
"184",-73.75,31.75,0
"185",-73.25,31.75,0
"186",-91.25,32.25,19.1
"187",-90.75,32.25,18.8
"188",-90.25,32.25,18.6
"189",-89.75,32.25,18.5
"190",-89.25,32.25,18.5
"191",-88.75,32.25,18.5
"192",-88.25,32.25,18.7
"193",-87.75,32.25,18.6
"194",-87.25,32.25,18.5
"195",-86.75,32.25,18.5
"196",-86.25,32.25,18.5
"197",-85.75,32.25,18.5
"198",-85.25,32.25,18.5
"199",-84.75,32.25,18.5
"200",-84.25,32.25,18.5
"201",-83.75,32.25,18.6
"202",-83.25,32.25,18.8
"203",-82.75,32.25,19
"204",-82.25,32.25,19.2
"205",-81.75,32.25,19.4
"206",-81.25,32.25,19.9
"207",-80.75,32.25,20.2
"208",-80.25,32.25,20.7
"209",-79.75,32.25,21.4
"210",-79.25,32.25,22.2
"211",-78.75,32.25,22.8
"212",-78.25,32.25,23.1
"213",-77.75,32.25,23.3
"214",-77.25,32.25,0
"215",-76.75,32.25,0
"216",-76.25,32.25,0
"217",-75.75,32.25,0
"218",-75.25,32.25,0
"219",-74.75,32.25,0
"220",-74.25,32.25,0
"221",-73.75,32.25,0
"222",-73.25,32.25,0
"223",-91.25,32.75,18.8
"224",-90.75,32.75,18.6
"225",-90.25,32.75,18.4
"226",-89.75,32.75,18.2
"227",-89.25,32.75,18.2
"228",-88.75,32.75,18.2
"229",-88.25,32.75,18.3
"230",-87.75,32.75,18.2
"231",-87.25,32.75,18
"232",-86.75,32.75,18
"233",-86.25,32.75,17.9
"234",-85.75,32.75,17.9
"235",-85.25,32.75,17.9
"236",-84.75,32.75,17.9
"237",-84.25,32.75,18
"238",-83.75,32.75,18.2
"239",-83.25,32.75,18.5
