"","lon","lat","TEM"
"1",-91.25,29.75,28.7
"2",-90.75,29.75,28.6
"3",-90.25,29.75,28.8
"4",-89.75,29.75,29
"5",-89.25,29.75,29.1
"6",-88.75,29.75,29.1
"7",-88.25,29.75,29.1
"8",-87.75,29.75,29
"9",-87.25,29.75,28.9
"10",-86.75,29.75,28.9
"11",-86.25,29.75,28.9
"12",-85.75,29.75,28.6
"13",-85.25,29.75,28.5
"14",-84.75,29.75,28.5
"15",-84.25,29.75,28.6
"16",-83.75,29.75,28.6
"17",-83.25,29.75,28.1
"18",-82.75,29.75,27.8
"19",-82.25,29.75,27.8
"20",-81.75,29.75,27.8
"21",-81.25,29.75,27.9
"22",-80.75,29.75,28
"23",-80.25,29.75,28.4
"24",-79.75,29.75,28.6
"25",-79.25,29.75,28.7
"26",-78.75,29.75,28.7
"27",-78.25,29.75,28.6
"28",-77.75,29.75,28.6
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,28.3
"39",-90.75,30.25,28.3
"40",-90.25,30.25,28.4
"41",-89.75,30.25,28.5
"42",-89.25,30.25,28.6
"43",-88.75,30.25,28.7
"44",-88.25,30.25,28.7
"45",-87.75,30.25,28.5
"46",-87.25,30.25,28.4
"47",-86.75,30.25,28.3
"48",-86.25,30.25,28.3
"49",-85.75,30.25,28.1
"50",-85.25,30.25,28
"51",-84.75,30.25,28.1
"52",-84.25,30.25,28.3
"53",-83.75,30.25,28.2
"54",-83.25,30.25,27.8
"55",-82.75,30.25,27.8
"56",-82.25,30.25,27.9
"57",-81.75,30.25,27.9
"58",-81.25,30.25,27.9
"59",-80.75,30.25,28
"60",-80.25,30.25,28.3
"61",-79.75,30.25,28.6
"62",-79.25,30.25,28.7
"63",-78.75,30.25,28.6
"64",-78.25,30.25,28.5
"65",-77.75,30.25,28.5
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,28.2
"76",-90.75,30.75,28.1
"77",-90.25,30.75,28.1
"78",-89.75,30.75,28
"79",-89.25,30.75,28
"80",-88.75,30.75,28.2
"81",-88.25,30.75,28.3
"82",-87.75,30.75,28.1
"83",-87.25,30.75,27.9
"84",-86.75,30.75,27.8
"85",-86.25,30.75,27.8
"86",-85.75,30.75,27.7
"87",-85.25,30.75,27.8
"88",-84.75,30.75,27.9
"89",-84.25,30.75,27.9
"90",-83.75,30.75,27.7
"91",-83.25,30.75,27.7
"92",-82.75,30.75,27.8
"93",-82.25,30.75,28
"94",-81.75,30.75,28.1
"95",-81.25,30.75,28
"96",-80.75,30.75,28
"97",-80.25,30.75,28.2
"98",-79.75,30.75,28.5
"99",-79.25,30.75,28.6
"100",-78.75,30.75,28.6
"101",-78.25,30.75,28.5
"102",-77.75,30.75,28.4
"103",-77.25,30.75,0
"104",-76.75,30.75,0
"105",-76.25,30.75,0
"106",-75.75,30.75,0
"107",-75.25,30.75,0
"108",-74.75,30.75,0
"109",-74.25,30.75,0
"110",-73.75,30.75,0
"111",-73.25,30.75,0
"112",-91.25,31.25,28.3
"113",-90.75,31.25,27.9
"114",-90.25,31.25,27.8
"115",-89.75,31.25,27.8
"116",-89.25,31.25,27.9
"117",-88.75,31.25,27.9
"118",-88.25,31.25,28.1
"119",-87.75,31.25,28
"120",-87.25,31.25,27.8
"121",-86.75,31.25,27.7
"122",-86.25,31.25,27.7
"123",-85.75,31.25,27.7
"124",-85.25,31.25,27.7
"125",-84.75,31.25,27.7
"126",-84.25,31.25,27.7
"127",-83.75,31.25,27.5
"128",-83.25,31.25,27.6
"129",-82.75,31.25,27.8
"130",-82.25,31.25,28
"131",-81.75,31.25,28.2
"132",-81.25,31.25,28.2
"133",-80.75,31.25,28
"134",-80.25,31.25,28.1
"135",-79.75,31.25,28.4
"136",-79.25,31.25,28.5
"137",-78.75,31.25,28.5
"138",-78.25,31.25,28.5
"139",-77.75,31.25,28.4
"140",-77.25,31.25,0
"141",-76.75,31.25,0
"142",-76.25,31.25,0
"143",-75.75,31.25,0
"144",-75.25,31.25,0
"145",-74.75,31.25,0
"146",-74.25,31.25,0
"147",-73.75,31.25,0
"148",-73.25,31.25,0
"149",-91.25,31.75,28.5
"150",-90.75,31.75,28
"151",-90.25,31.75,27.8
"152",-89.75,31.75,27.8
"153",-89.25,31.75,27.9
"154",-88.75,31.75,27.9
"155",-88.25,31.75,28.1
"156",-87.75,31.75,28
"157",-87.25,31.75,27.9
"158",-86.75,31.75,27.8
"159",-86.25,31.75,27.7
"160",-85.75,31.75,27.7
"161",-85.25,31.75,27.7
"162",-84.75,31.75,27.7
"163",-84.25,31.75,27.7
"164",-83.75,31.75,27.6
"165",-83.25,31.75,27.7
"166",-82.75,31.75,27.8
"167",-82.25,31.75,28
"168",-81.75,31.75,28.1
"169",-81.25,31.75,28.3
"170",-80.75,31.75,28
"171",-80.25,31.75,28
"172",-79.75,31.75,28.2
"173",-79.25,31.75,28.4
"174",-78.75,31.75,28.5
"175",-78.25,31.75,28.5
"176",-77.75,31.75,28.4
"177",-77.25,31.75,0
"178",-76.75,31.75,0
"179",-76.25,31.75,0
"180",-75.75,31.75,0
"181",-75.25,31.75,0
"182",-74.75,31.75,0
"183",-74.25,31.75,0
"184",-73.75,31.75,0
"185",-73.25,31.75,0
"186",-91.25,32.25,28.8
"187",-90.75,32.25,28.3
"188",-90.25,32.25,28
"189",-89.75,32.25,27.8
"190",-89.25,32.25,27.9
"191",-88.75,32.25,28
"192",-88.25,32.25,28.1
"193",-87.75,32.25,27.9
"194",-87.25,32.25,27.7
"195",-86.75,32.25,27.7
"196",-86.25,32.25,27.7
"197",-85.75,32.25,27.6
"198",-85.25,32.25,27.7
"199",-84.75,32.25,27.6
"200",-84.25,32.25,27.5
"201",-83.75,32.25,27.6
"202",-83.25,32.25,27.8
"203",-82.75,32.25,27.9
"204",-82.25,32.25,27.9
"205",-81.75,32.25,27.9
"206",-81.25,32.25,28.2
"207",-80.75,32.25,28.1
"208",-80.25,32.25,28
"209",-79.75,32.25,28
"210",-79.25,32.25,28.1
"211",-78.75,32.25,28.2
"212",-78.25,32.25,28.3
"213",-77.75,32.25,28.3
"214",-77.25,32.25,0
"215",-76.75,32.25,0
"216",-76.25,32.25,0
"217",-75.75,32.25,0
"218",-75.25,32.25,0
"219",-74.75,32.25,0
"220",-74.25,32.25,0
"221",-73.75,32.25,0
"222",-73.25,32.25,0
"223",-91.25,32.75,29
"224",-90.75,32.75,28.6
"225",-90.25,32.75,28.2
"226",-89.75,32.75,28
"227",-89.25,32.75,27.9
"228",-88.75,32.75,28
"229",-88.25,32.75,28
"230",-87.75,32.75,27.6
"231",-87.25,32.75,27.3
"232",-86.75,32.75,27.3
"233",-86.25,32.75,27.4
"234",-85.75,32.75,27.3
"235",-85.25,32.75,27.3
"236",-84.75,32.75,27.3
"237",-84.25,32.75,27.4
"238",-83.75,32.75,27.5
"239",-83.25,32.75,27.8
"240",-82.75,32.75,27.8
"241",-82.25,32.75,27.7
"242",-81.75,32.75,27.6
"243",-81.25,32.75,27.8
"244",-80.75,32.75,27.9
"245",-80.25,32.75,27.8
"246",-79.75,32.75,27.8
"247",-79.25,32.75,27.7
"248",-78.75,32.75,27.8
"249",-78.25,32.75,28
"250",-77.75,32.75,28.1
"251",-77.25,32.75,0
"252",-76.75,32.75,0
"253",-76.25,32.75,0
"254",-75.75,32.75,0
"255",-75.25,32.75,0
"256",-74.75,32.75,0
"257",-74.25,32.75,0
"258",-73.75,32.75,0
"259",-73.25,32.75,0
"260",-91.25,33.25,29.1
"261",-90.75,33.25,28.7
"262",-90.25,33.25,28.4
"263",-89.75,33.25,28.1
"264",-89.25,33.25,28
"265",-88.75,33.25,28.1
"266",-88.25,33.25,27.9
"267",-87.75,33.25,27.5
"268",-87.25,33.25,27.2
"269",-86.75,33.25,27.1
"270",-86.25,33.25,27
"271",-85.75,33.25,26.9
"272",-85.25,33.25,26.9
"273",-84.75,33.25,27
"274",-84.25,33.25,27
"275",-83.75,33.25,27.3
"276",-83.25,33.25,27.5
"277",-82.75,33.25,27.6
"278",-82.25,33.25,27.6
"279",-81.75,33.25,27.5
"280",-81.25,33.25,27.4
"281",-80.75,33.25,27.5
"282",-80.25,33.25,27.6
"283",-79.75,33.25,27.5
"284",-79.25,33.25,27.5
"285",-78.75,33.25,27.5
"286",-78.25,33.25,27.6
"287",-77.75,33.25,27.8
"288",-77.25,33.25,0
"289",-76.75,33.25,0
"290",-76.25,33.25,0
"291",-75.75,33.25,0
"292",-75.25,33.25,0
"293",-74.75,33.25,0
"294",-74.25,33.25,0
"295",-73.75,33.25,0
"296",-73.25,33.25,0
"297",-91.25,33.75,28.9
"298",-90.75,33.75,28.7
"299",-90.25,33.75,28.4
"300",-89.75,33.75,28.1
"301",-89.25,33.75,28
