"","lon","lat","TEM"
"1",-91.25,29.75,28.6
"2",-90.75,29.75,28.6
"3",-90.25,29.75,28.7
"4",-89.75,29.75,28.9
"5",-89.25,29.75,29
"6",-88.75,29.75,28.9
"7",-88.25,29.75,28.8
"8",-87.75,29.75,28.7
"9",-87.25,29.75,28.7
"10",-86.75,29.75,28.7
"11",-86.25,29.75,28.6
"12",-85.75,29.75,28.5
"13",-85.25,29.75,28.3
"14",-84.75,29.75,28.4
"15",-84.25,29.75,28.5
"16",-83.75,29.75,28.5
"17",-83.25,29.75,28.1
"18",-82.75,29.75,27.9
"19",-82.25,29.75,27.8
"20",-81.75,29.75,27.8
"21",-81.25,29.75,27.8
"22",-80.75,29.75,27.7
"23",-80.25,29.75,28
"24",-79.75,29.75,28.3
"25",-79.25,29.75,28.4
"26",-78.75,29.75,28.3
"27",-78.25,29.75,28.2
"28",-77.75,29.75,28.2
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,28.3
"39",-90.75,30.25,28.4
"40",-90.25,30.25,28.5
"41",-89.75,30.25,28.6
"42",-89.25,30.25,28.7
"43",-88.75,30.25,28.7
"44",-88.25,30.25,28.6
"45",-87.75,30.25,28.5
"46",-87.25,30.25,28.4
"47",-86.75,30.25,28.3
"48",-86.25,30.25,28.3
"49",-85.75,30.25,28.1
"50",-85.25,30.25,28.1
"51",-84.75,30.25,28.1
"52",-84.25,30.25,28.2
"53",-83.75,30.25,28.2
"54",-83.25,30.25,27.9
"55",-82.75,30.25,27.9
"56",-82.25,30.25,28
"57",-81.75,30.25,27.9
"58",-81.25,30.25,27.7
"59",-80.75,30.25,27.7
"60",-80.25,30.25,28
"61",-79.75,30.25,28.3
"62",-79.25,30.25,28.4
"63",-78.75,30.25,28.2
"64",-78.25,30.25,28.2
"65",-77.75,30.25,28.1
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,28.4
"76",-90.75,30.75,28.4
"77",-90.25,30.75,28.3
"78",-89.75,30.75,28.3
"79",-89.25,30.75,28.3
"80",-88.75,30.75,28.4
"81",-88.25,30.75,28.4
"82",-87.75,30.75,28.3
"83",-87.25,30.75,28.1
"84",-86.75,30.75,28
"85",-86.25,30.75,28
"86",-85.75,30.75,27.8
"87",-85.25,30.75,27.8
"88",-84.75,30.75,27.9
"89",-84.25,30.75,27.9
"90",-83.75,30.75,27.7
"91",-83.25,30.75,27.7
"92",-82.75,30.75,27.9
"93",-82.25,30.75,28.1
"94",-81.75,30.75,28.2
"95",-81.25,30.75,27.8
"96",-80.75,30.75,27.7
"97",-80.25,30.75,28
"98",-79.75,30.75,28.2
"99",-79.25,30.75,28.3
"100",-78.75,30.75,28.2
"101",-78.25,30.75,28.2
"102",-77.75,30.75,28.1
"103",-77.25,30.75,0
"104",-76.75,30.75,0
"105",-76.25,30.75,0
"106",-75.75,30.75,0
"107",-75.25,30.75,0
"108",-74.75,30.75,0
"109",-74.25,30.75,0
"110",-73.75,30.75,0
"111",-73.25,30.75,0
"112",-91.25,31.25,28.5
"113",-90.75,31.25,28.2
"114",-90.25,31.25,28.1
"115",-89.75,31.25,28.1
"116",-89.25,31.25,28.2
"117",-88.75,31.25,28.3
"118",-88.25,31.25,28.4
"119",-87.75,31.25,28.2
"120",-87.25,31.25,28.1
"121",-86.75,31.25,28
"122",-86.25,31.25,27.9
"123",-85.75,31.25,27.8
"124",-85.25,31.25,27.8
"125",-84.75,31.25,27.8
"126",-84.25,31.25,27.8
"127",-83.75,31.25,27.5
"128",-83.25,31.25,27.7
"129",-82.75,31.25,27.9
"130",-82.25,31.25,28.2
"131",-81.75,31.25,28.4
"132",-81.25,31.25,28.2
"133",-80.75,31.25,27.8
"134",-80.25,31.25,27.9
"135",-79.75,31.25,28.1
"136",-79.25,31.25,28.3
"137",-78.75,31.25,28.3
"138",-78.25,31.25,28.2
"139",-77.75,31.25,28.1
"140",-77.25,31.25,0
"141",-76.75,31.25,0
"142",-76.25,31.25,0
"143",-75.75,31.25,0
"144",-75.25,31.25,0
"145",-74.75,31.25,0
"146",-74.25,31.25,0
"147",-73.75,31.25,0
"148",-73.25,31.25,0
"149",-91.25,31.75,28.8
"150",-90.75,31.75,28.3
"151",-90.25,31.75,28.1
"152",-89.75,31.75,28.1
"153",-89.25,31.75,28.2
"154",-88.75,31.75,28.3
"155",-88.25,31.75,28.4
"156",-87.75,31.75,28.3
"157",-87.25,31.75,28.2
"158",-86.75,31.75,28.1
"159",-86.25,31.75,28
"160",-85.75,31.75,28
"161",-85.25,31.75,28
"162",-84.75,31.75,27.9
"163",-84.25,31.75,27.8
"164",-83.75,31.75,27.7
"165",-83.25,31.75,27.9
"166",-82.75,31.75,28.1
"167",-82.25,31.75,28.4
"168",-81.75,31.75,28.6
"169",-81.25,31.75,28.6
"170",-80.75,31.75,28
"171",-80.25,31.75,27.9
"172",-79.75,31.75,28
"173",-79.25,31.75,28.1
"174",-78.75,31.75,28.2
"175",-78.25,31.75,28.2
