"","lon","lat","TEM"
"181",-75.25,31.75,0
"182",-74.75,31.75,0
"183",-74.25,31.75,0
"184",-73.75,31.75,0
"185",-73.25,31.75,0
"186",-91.25,32.25,13.6
"187",-90.75,32.25,13.4
"188",-90.25,32.25,13.2
"189",-89.75,32.25,13
"190",-89.25,32.25,13
"191",-88.75,32.25,12.9
"192",-88.25,32.25,13.1
"193",-87.75,32.25,13
"194",-87.25,32.25,13
"195",-86.75,32.25,13.2
"196",-86.25,32.25,13.3
"197",-85.75,32.25,13.3
"198",-85.25,32.25,13.4
"199",-84.75,32.25,13.4
"200",-84.25,32.25,13.4
"201",-83.75,32.25,13.6
"202",-83.25,32.25,13.9
"203",-82.75,32.25,14.1
"204",-82.25,32.25,14.4
"205",-81.75,32.25,14.7
"206",-81.25,32.25,15.1
"207",-80.75,32.25,16.2
"208",-80.25,32.25,17.5
"209",-79.75,32.25,18.9
"210",-79.25,32.25,20.3
"211",-78.75,32.25,21.2
"212",-78.25,32.25,21.6
"213",-77.75,32.25,21.9
"214",-77.25,32.25,0
"215",-76.75,32.25,0
"216",-76.25,32.25,0
"217",-75.75,32.25,0
"218",-75.25,32.25,0
"219",-74.75,32.25,0
"220",-74.25,32.25,0
"221",-73.75,32.25,0
"222",-73.25,32.25,0
"223",-91.25,32.75,13
"224",-90.75,32.75,13
"225",-90.25,32.75,12.9
"226",-89.75,32.75,12.7
"227",-89.25,32.75,12.5
"228",-88.75,32.75,12.5
"229",-88.25,32.75,12.6
"230",-87.75,32.75,12.5
"231",-87.25,32.75,12.4
"232",-86.75,32.75,12.5
"233",-86.25,32.75,12.6
"234",-85.75,32.75,12.6
"235",-85.25,32.75,12.6
"236",-84.75,32.75,12.6
"237",-84.25,32.75,12.6
"238",-83.75,32.75,12.9
"239",-83.25,32.75,13.2
"240",-82.75,32.75,13.4
"241",-82.25,32.75,13.7
"242",-81.75,32.75,13.9
"243",-81.25,32.75,14.1
"244",-80.75,32.75,14.6
"245",-80.25,32.75,15.3
"246",-79.75,32.75,16.5
"247",-79.25,32.75,18
"248",-78.75,32.75,19.6
"249",-78.25,32.75,20.5
"250",-77.75,32.75,21.1
"251",-77.25,32.75,0
"252",-76.75,32.75,0
"253",-76.25,32.75,0
"254",-75.75,32.75,0
"255",-75.25,32.75,0
"256",-74.75,32.75,0
"257",-74.25,32.75,0
"258",-73.75,32.75,0
"259",-73.25,32.75,0
"260",-91.25,33.25,12.5
"261",-90.75,33.25,12.6
"262",-90.25,33.25,12.5
"263",-89.75,33.25,12.3
"264",-89.25,33.25,12.1
"265",-88.75,33.25,12.1
