"lon","lat","TEM"
-91.25,29.75,22.4
-90.75,29.75,22.2
-90.25,29.75,22.5
-89.75,29.75,23
-89.25,29.75,23.5
-88.75,29.75,24.1
-88.25,29.75,24.3
-87.75,29.75,24.3
-87.25,29.75,24.3
-86.75,29.75,24.5
-86.25,29.75,24.4
-85.75,29.75,23.7
-85.25,29.75,23.2
-84.75,29.75,23.1
-84.25,29.75,23.3
-83.75,29.75,23.1
-83.25,29.75,22.3
-82.75,29.75,22
-82.25,29.75,22.1
-81.75,29.75,22.6
-81.25,29.75,23.6
-80.75,29.75,24.9
-80.25,29.75,25.7
-79.75,29.75,25.9
-79.25,29.75,26
-78.75,29.75,25.9
-78.25,29.75,25.9
-77.75,29.75,25.9
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,21.5
-90.75,30.25,21.4
-90.25,30.25,21.4
-89.75,30.25,21.6
-89.25,30.25,22
-88.75,30.25,22.8
-88.25,30.25,22.9
-87.75,30.25,22.7
-87.25,30.25,22.7
-86.75,30.25,22.8
-86.25,30.25,22.7
-85.75,30.25,22.1
-85.25,30.25,21.8
-84.75,30.25,21.8
-84.25,30.25,22
-83.75,30.25,21.9
-83.25,30.25,21.6
-82.75,30.25,21.6
-82.25,30.25,21.8
-81.75,30.25,22.4
-81.25,30.25,23.8
-80.75,30.25,24.7
-80.25,30.25,25.4
-79.75,30.25,25.7
-79.25,30.25,25.8
-78.75,30.25,25.7
-78.25,30.25,25.7
-77.75,30.25,25.7
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,21.1
-90.75,30.75,20.8
-90.25,30.75,20.5
-89.75,30.75,20.4
-89.25,30.75,20.6
-88.75,30.75,21.3
-88.25,30.75,21.3
-87.75,30.75,21.1
-87.25,30.75,21
-86.75,30.75,21.1
-86.25,30.75,21
-85.75,30.75,21
-85.25,30.75,21.1
-84.75,30.75,21.2
-84.25,30.75,21.2
-83.75,30.75,21.2
-83.25,30.75,21.3
-82.75,30.75,21.3
-82.25,30.75,21.5
-81.75,30.75,22.1
-81.25,30.75,23.5
-80.75,30.75,24.4
-80.25,30.75,25
-79.75,30.75,25.4
-79.25,30.75,25.6
-78.75,30.75,25.6
-78.25,30.75,25.6
