"lon","lat","TEM"
-89.25,32.75,27.9
-88.75,32.75,28
-88.25,32.75,28
-87.75,32.75,27.6
-87.25,32.75,27.3
-86.75,32.75,27.3
-86.25,32.75,27.4
-85.75,32.75,27.3
-85.25,32.75,27.3
-84.75,32.75,27.3
-84.25,32.75,27.4
-83.75,32.75,27.5
-83.25,32.75,27.8
-82.75,32.75,27.8
-82.25,32.75,27.7
-81.75,32.75,27.6
-81.25,32.75,27.8
-80.75,32.75,27.9
-80.25,32.75,27.8
-79.75,32.75,27.8
-79.25,32.75,27.7
-78.75,32.75,27.8
-78.25,32.75,28
-77.75,32.75,28.1
-77.25,32.75,0
-76.75,32.75,0
-76.25,32.75,0
-75.75,32.75,0
-75.25,32.75,0
-74.75,32.75,0
-74.25,32.75,0
-73.75,32.75,0
-73.25,32.75,0
-91.25,33.25,29.1
-90.75,33.25,28.7
-90.25,33.25,28.4
-89.75,33.25,28.1
-89.25,33.25,28
-88.75,33.25,28.1
-88.25,33.25,27.9
-87.75,33.25,27.5
-87.25,33.25,27.2
-86.75,33.25,27.1
-86.25,33.25,27
-85.75,33.25,26.9
-85.25,33.25,26.9
-84.75,33.25,27
-84.25,33.25,27
-83.75,33.25,27.3
-83.25,33.25,27.5
-82.75,33.25,27.6
-82.25,33.25,27.6
-81.75,33.25,27.5
-81.25,33.25,27.4
-80.75,33.25,27.5
-80.25,33.25,27.6
-79.75,33.25,27.5
-79.25,33.25,27.5
-78.75,33.25,27.5
-78.25,33.25,27.6
-77.75,33.25,27.8
-77.25,33.25,0
-76.75,33.25,0
-76.25,33.25,0
-75.75,33.25,0
-75.25,33.25,0
-74.75,33.25,0
-74.25,33.25,0
-73.75,33.25,0
-73.25,33.25,0
-91.25,33.75,28.9
-90.75,33.75,28.7
-90.25,33.75,28.4
-89.75,33.75,28.1
-89.25,33.75,28
-88.75,33.75,28.1
-88.25,33.75,27.8
-87.75,33.75,27.4
-87.25,33.75,27.1
-86.75,33.75,27
-86.25,33.75,26.8
-85.75,33.75,26.7
-85.25,33.75,26.7
-84.75,33.75,26.6
-84.25,33.75,26.6
-83.75,33.75,26.8
-83.25,33.75,27.1
-82.75,33.75,27.4
-82.25,33.75,27.5
-81.75,33.75,27.4
-81.25,33.75,27.3
-80.75,33.75,27.4
-80.25,33.75,27.4
-79.75,33.75,27.3
-79.25,33.75,27.2
-78.75,33.75,27.1
-78.25,33.75,27.2
-77.75,33.75,27.3
-77.25,33.75,0
-76.75,33.75,0
-76.25,33.75,0
-75.75,33.75,0
-75.25,33.75,0
-74.75,33.75,0
-74.25,33.75,0
-73.75,33.75,0
-73.25,33.75,0
-91.25,34.25,28.6
-90.75,34.25,28.5
-90.25,34.25,28.3
-89.75,34.25,28
-89.25,34.25,27.8
-88.75,34.25,27.9
-88.25,34.25,27.5
-87.75,34.25,27
-87.25,34.25,26.7
-86.75,34.25,26.7
-86.25,34.25,26.5
-85.75,34.25,26.5
-85.25,34.25,26.6
-84.75,34.25,26.3
-84.25,34.25,25.8
