"lon","lat","TEM"
-91.25,29.75,21.1
-90.75,29.75,21.1
-90.25,29.75,21.4
-89.75,29.75,21.7
-89.25,29.75,22
-88.75,29.75,22.3
-88.25,29.75,22.5
-87.75,29.75,22.5
-87.25,29.75,22.6
-86.75,29.75,22.7
-86.25,29.75,22.5
-85.75,29.75,22
-85.25,29.75,21.5
-84.75,29.75,21.4
-84.25,29.75,21.5
-83.75,29.75,21.4
-83.25,29.75,21.1
-82.75,29.75,21.1
-82.25,29.75,21.2
-81.75,29.75,21.6
-81.25,29.75,22.1
-80.75,29.75,23
-80.25,29.75,23.9
-79.75,29.75,24.4
-79.25,29.75,24.5
-78.75,29.75,24.4
-78.25,29.75,24.3
-77.75,29.75,24.2
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,20.4
-90.75,30.25,20.5
-90.25,30.25,20.6
-89.75,30.25,20.7
-89.25,30.25,20.9
-88.75,30.25,21.3
-88.25,30.25,21.4
-87.75,30.25,21.3
-87.25,30.25,21.2
-86.75,30.25,21.3
-86.25,30.25,21.2
-85.75,30.25,20.7
-85.25,30.25,20.5
-84.75,30.25,20.5
-84.25,30.25,20.6
-83.75,30.25,20.6
-83.25,30.25,20.5
-82.75,30.25,20.6
-82.25,30.25,20.9
-81.75,30.25,21.2
-81.25,30.25,21.9
-80.75,30.25,22.7
-80.25,30.25,23.6
-79.75,30.25,24.2
-79.25,30.25,24.3
-78.75,30.25,24.2
-78.25,30.25,24.1
-77.75,30.25,24
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,19.9
-90.75,30.75,19.8
-90.25,30.75,19.7
-89.75,30.75,19.7
-89.25,30.75,19.8
-88.75,30.75,20.1
-88.25,30.75,20.2
-87.75,30.75,20.1
-87.25,30.75,20
-86.75,30.75,20
-86.25,30.75,19.9
-85.75,30.75,19.7
-85.25,30.75,19.8
-84.75,30.75,19.9
-84.25,30.75,19.9
-83.75,30.75,19.8
-83.25,30.75,20
-82.75,30.75,20.2
-82.25,30.75,20.6
-81.75,30.75,20.9
-81.25,30.75,21.5
-80.75,30.75,22.2
-80.25,30.75,23.1
-79.75,30.75,23.8
-79.25,30.75,24.1
-78.75,30.75,24.1
-78.25,30.75,24
-77.75,30.75,23.9
-77.25,30.75,0
-76.75,30.75,0
-76.25,30.75,0
-75.75,30.75,0
-75.25,30.75,0
-74.75,30.75,0
-74.25,30.75,0
-73.75,30.75,0
-73.25,30.75,0
-91.25,31.25,19.5
-90.75,31.25,19.2
-90.25,31.25,19.1
-89.75,31.25,19.2
-89.25,31.25,19.3
-88.75,31.25,19.4
-88.25,31.25,19.4
-87.75,31.25,19.4
-87.25,31.25,19.3
-86.75,31.25,19.3
-86.25,31.25,19.2
-85.75,31.25,19.2
-85.25,31.25,19.3
