"lon","lat","TEM"
-91.25,29.75,26.6
-90.75,29.75,26.7
-90.25,29.75,27
-89.75,29.75,27.4
-89.25,29.75,27.6
-88.75,29.75,27.7
-88.25,29.75,27.8
-87.75,29.75,27.6
-87.25,29.75,27.6
-86.75,29.75,27.6
-86.25,29.75,27.6
-85.75,29.75,27.3
-85.25,29.75,27
-84.75,29.75,27
-84.25,29.75,27.1
-83.75,29.75,27
-83.25,29.75,26.5
-82.75,29.75,26.2
-82.25,29.75,26.2
-81.75,29.75,26.5
-81.25,29.75,27
-80.75,29.75,27.4
-80.25,29.75,27.8
-79.75,29.75,27.9
-79.25,29.75,27.9
-78.75,29.75,27.9
-78.25,29.75,27.8
-77.75,29.75,27.8
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,26.1
-90.75,30.25,26.2
-90.25,30.25,26.4
-89.75,30.25,26.6
-89.25,30.25,26.9
-88.75,30.25,27.1
-88.25,30.25,27.1
-87.75,30.25,26.9
-87.25,30.25,26.8
-86.75,30.25,26.8
-86.25,30.25,26.8
-85.75,30.25,26.4
-85.25,30.25,26.3
-84.75,30.25,26.3
-84.25,30.25,26.4
-83.75,30.25,26.3
-83.25,30.25,26
-82.75,30.25,25.9
-82.25,30.25,26.1
-81.75,30.25,26.4
-81.25,30.25,27
-80.75,30.25,27.3
-80.25,30.25,27.6
-79.75,30.25,27.8
-79.25,30.25,27.8
-78.75,30.25,27.7
-78.25,30.25,27.7
-77.75,30.25,27.6
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,25.9
-90.75,30.75,25.9
-90.25,30.75,25.9
-89.75,30.75,25.9
-89.25,30.75,26
-88.75,30.75,26.3
-88.25,30.75,26.3
-87.75,30.75,26.1
-87.25,30.75,25.9
-86.75,30.75,25.9
-86.25,30.75,25.9
-85.75,30.75,25.8
-85.25,30.75,25.9
-84.75,30.75,26
-84.25,30.75,25.9
-83.75,30.75,25.7
-83.25,30.75,25.7
-82.75,30.75,25.8
-82.25,30.75,26
-81.75,30.75,26.4
-81.25,30.75,27
-80.75,30.75,27.2
-80.25,30.75,27.5
-79.75,30.75,27.6
-79.25,30.75,27.7
-78.75,30.75,27.6
-78.25,30.75,27.6
-77.75,30.75,27.5
-77.25,30.75,0
-76.75,30.75,0
-76.25,30.75,0
-75.75,30.75,0
-75.25,30.75,0
-74.75,30.75,0
-74.25,30.75,0
-73.75,30.75,0
-73.25,30.75,0
-91.25,31.25,26
-90.75,31.25,25.6
-90.25,31.25,25.6
-89.75,31.25,25.6
-89.25,31.25,25.8
-88.75,31.25,25.8
-88.25,31.25,25.9
-87.75,31.25,25.8
-87.25,31.25,25.6
-86.75,31.25,25.5
-86.25,31.25,25.5
-85.75,31.25,25.6
-85.25,31.25,25.7
-84.75,31.25,25.8
-84.25,31.25,25.7
-83.75,31.25,25.4
-83.25,31.25,25.5
-82.75,31.25,25.6
-82.25,31.25,25.9
-81.75,31.25,26.2
-81.25,31.25,26.7
-80.75,31.25,26.9
-80.25,31.25,27.2
-79.75,31.25,27.4
-79.25,31.25,27.6
-78.75,31.25,27.6
-78.25,31.25,27.5
-77.75,31.25,27.5
-77.25,31.25,0
-76.75,31.25,0
-76.25,31.25,0
-75.75,31.25,0
-75.25,31.25,0
-74.75,31.25,0
-74.25,31.25,0
-73.75,31.25,0
-73.25,31.25,0
-91.25,31.75,26.2
