"lon","lat","TEM"
-91.25,29.75,28.2
-90.75,29.75,28
-90.25,29.75,28.2
-89.75,29.75,28.3
-89.25,29.75,28.3
-88.75,29.75,28.1
-88.25,29.75,28
-87.75,29.75,27.9
-87.25,29.75,27.8
-86.75,29.75,27.7
-86.25,29.75,27.6
-85.75,29.75,27.6
-85.25,29.75,27.6
-84.75,29.75,27.6
-84.25,29.75,27.7
-83.75,29.75,27.7
-83.25,29.75,27.6
-82.75,29.75,27.5
-82.25,29.75,27.4
-81.75,29.75,27.3
-81.25,29.75,27.1
-80.75,29.75,26.8
-80.25,29.75,27
-79.75,29.75,27.3
-79.25,29.75,27.3
-78.75,29.75,27.1
-78.25,29.75,27
-77.75,29.75,26.9
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,27.9
-90.75,30.25,27.9
-90.25,30.25,28
-89.75,30.25,28
-89.25,30.25,28
-88.75,30.25,28
-88.25,30.25,27.9
-87.75,30.25,27.7
-87.25,30.25,27.6
-86.75,30.25,27.5
-86.25,30.25,27.5
-85.75,30.25,27.4
-85.25,30.25,27.5
-84.75,30.25,27.5
-84.25,30.25,27.6
-83.75,30.25,27.5
-83.25,30.25,27.4
-82.75,30.25,27.3
-82.25,30.25,27.4
-81.75,30.25,27.3
-81.25,30.25,27
-80.75,30.25,26.7
-80.25,30.25,27
-79.75,30.25,27.3
-79.25,30.25,27.3
-78.75,30.25,27.1
-78.25,30.25,26.9
-77.75,30.25,26.8
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,27.7
-90.75,30.75,27.7
-90.25,30.75,27.6
-89.75,30.75,27.6
-89.25,30.75,27.6
-88.75,30.75,27.7
-88.25,30.75,27.6
-87.75,30.75,27.5
-87.25,30.75,27.3
-86.75,30.75,27.2
-86.25,30.75,27.2
-85.75,30.75,27
-85.25,30.75,27.1
-84.75,30.75,27.1
-84.25,30.75,27.1
-83.75,30.75,27
-83.25,30.75,27
-82.75,30.75,27.1
-82.25,30.75,27.3
-81.75,30.75,27.4
-81.25,30.75,27
-80.75,30.75,26.7
-80.25,30.75,26.9
-79.75,30.75,27.2
-79.25,30.75,27.3
-78.75,30.75,27.1
-78.25,30.75,27
-77.75,30.75,26.9
-77.25,30.75,0
-76.75,30.75,0
-76.25,30.75,0
-75.75,30.75,0
-75.25,30.75,0
-74.75,30.75,0
-74.25,30.75,0
-73.75,30.75,0
-73.25,30.75,0
-91.25,31.25,27.7
-90.75,31.25,27.3
-90.25,31.25,27.2
-89.75,31.25,27.3
-89.25,31.25,27.4
-88.75,31.25,27.4
-88.25,31.25,27.5
-87.75,31.25,27.4
-87.25,31.25,27.3
-86.75,31.25,27.2
-86.25,31.25,27
-85.75,31.25,26.9
-85.25,31.25,26.8
-84.75,31.25,26.8
-84.25,31.25,26.7
-83.75,31.25,26.5
-83.25,31.25,26.7
-82.75,31.25,26.9
-82.25,31.25,27.2
-81.75,31.25,27.4
-81.25,31.25,27.2
-80.75,31.25,26.7
-80.25,31.25,26.8
-79.75,31.25,27
-79.25,31.25,27.2
-78.75,31.25,27.2
-78.25,31.25,27.1
-77.75,31.25,26.9
-77.25,31.25,0
-76.75,31.25,0
-76.25,31.25,0
-75.75,31.25,0
-75.25,31.25,0
-74.75,31.25,0
-74.25,31.25,0
-73.75,31.25,0
-73.25,31.25,0
-91.25,31.75,27.9
-90.75,31.75,27.4
-90.25,31.75,27.1
-89.75,31.75,27.2
-89.25,31.75,27.3
-88.75,31.75,27.3
-88.25,31.75,27.4
-87.75,31.75,27.4
-87.25,31.75,27.3
-86.75,31.75,27.2
-86.25,31.75,27
-85.75,31.75,26.9
-85.25,31.75,26.9
-84.75,31.75,26.8
-84.25,31.75,26.5
-83.75,31.75,26.4
-83.25,31.75,26.6
-82.75,31.75,26.8
-82.25,31.75,27.1
-81.75,31.75,27.4
-81.25,31.75,27.5
-80.75,31.75,26.9
-80.25,31.75,26.7
-79.75,31.75,26.8
-79.25,31.75,27
-78.75,31.75,27.2
-78.25,31.75,27.1
-77.75,31.75,27
-77.25,31.75,0
-76.75,31.75,0
-76.25,31.75,0
-75.75,31.75,0
-75.25,31.75,0
-74.75,31.75,0
-74.25,31.75,0
-73.75,31.75,0
-73.25,31.75,0
-91.25,32.25,27.9
-90.75,32.25,27.4
-90.25,32.25,27
-89.75,32.25,27
-89.25,32.25,27.2
-88.75,32.25,27.3
-88.25,32.25,27.3
-87.75,32.25,27.1
-87.25,32.25,27
-86.75,32.25,26.9
-86.25,32.25,26.8
-85.75,32.25,26.8
-85.25,32.25,26.8
-84.75,32.25,26.6
-84.25,32.25,26.5
-83.75,32.25,26.5
-83.25,32.25,26.7
-82.75,32.25,26.9
-82.25,32.25,27
-81.75,32.25,27.2
-81.25,32.25,27.6
-80.75,32.25,27.2
-80.25,32.25,26.9
-79.75,32.25,26.7
-79.25,32.25,26.7
-78.75,32.25,26.9
-78.25,32.25,27
-77.75,32.25,27
-77.25,32.25,0
-76.75,32.25,0
-76.25,32.25,0
-75.75,32.25,0
-75.25,32.25,0
-74.75,32.25,0
-74.25,32.25,0
-73.75,32.25,0
-73.25,32.25,0
-91.25,32.75,27.8
-90.75,32.75,27.3
-90.25,32.75,27
-89.75,32.75,26.9
-89.25,32.75,27
-88.75,32.75,27.2
-88.25,32.75,27
-87.75,32.75,26.7
-87.25,32.75,26.5
-86.75,32.75,26.4
-86.25,32.75,26.3
-85.75,32.75,26.3
-85.25,32.75,26.4
-84.75,32.75,26.4
-84.25,32.75,26.4
-83.75,32.75,26.6
-83.25,32.75,26.9
-82.75,32.75,26.9
-82.25,32.75,26.9
-81.75,32.75,26.9
-81.25,32.75,27.3
-80.75,32.75,27.4
-80.25,32.75,27.2
-79.75,32.75,26.9
-79.25,32.75,26.6
-78.75,32.75,26.5
-78.25,32.75,26.6
-77.75,32.75,26.8
-77.25,32.75,0
-76.75,32.75,0
-76.25,32.75,0
-75.75,32.75,0
-75.25,32.75,0
-74.75,32.75,0
-74.25,32.75,0
-73.75,32.75,0
-73.25,32.75,0
-91.25,33.25,27.8
-90.75,33.25,27.3
-90.25,33.25,26.9
-89.75,33.25,26.8
-89.25,33.25,26.8
-88.75,33.25,27
-88.25,33.25,26.7
-87.75,33.25,26.4
-87.25,33.25,26.2
-86.75,33.25,26.1
-86.25,33.25,25.9
-85.75,33.25,25.8
-85.25,33.25,25.9
-84.75,33.25,26
-84.25,33.25,26.1
-83.75,33.25,26.5
-83.25,33.25,26.8
-82.75,33.25,26.9
-82.25,33.25,26.9
-81.75,33.25,26.9
-81.25,33.25,26.8
-80.75,33.25,27.1
-80.25,33.25,27.2
-79.75,33.25,27
-79.25,33.25,26.8
-78.75,33.25,26.3
-78.25,33.25,26.3
-77.75,33.25,26.4
-77.25,33.25,0
-76.75,33.25,0
-76.25,33.25,0
-75.75,33.25,0
-75.25,33.25,0
-74.75,33.25,0
-74.25,33.25,0
-73.75,33.25,0
-73.25,33.25,0
-91.25,33.75,27.7
-90.75,33.75,27.2
-90.25,33.75,26.8
-89.75,33.75,26.6
-89.25,33.75,26.5
-88.75,33.75,26.6
-88.25,33.75,26.2
